,word,relevance_score
0,menstrual,5.951781052937983
1,clinic,5.55227955810673
2,clinics,4.827766866255352
3,tampons,4.767544523772489
4,"""pro-choice""",4.767544523772489
5,"child""",4.767544523772489
6,"""unborn",4.767544523772489
7,ibis,4.767544523772489
8,miscarriage,4.767544523772489
9,pads,4.767544523772489
10,abortions,4.1690663282677765
11,waiver,4.102231168646101
12,"abortion""",4.05334071717304
13,hygiene,3.6312103185522524
14,unborn,3.6312103185522524
15,"""pro-life""",3.6312103185522524
16,script,3.6312103185522524
17,infant,3.0918889416438216
18,maternal,3.0917957273469154
19,pregnancy,2.9690581943499343
20,abortion,2.9212470658069685
21,reproductive,2.9194596556779113
22,parental,2.5824432763328358
23,physician,2.451542391627127
24,viewpoint,2.451542391627127
25,aged,2.271258304673812
26,parenthood,2.2237813030318034
27,implies,2.0276295658639856
28,mortality,1.8521665924185273
29,funded,1.227061940652198
30,woman,1.1610639471398194
31,statute,1.0923562073134752
32,child,1.0668572881421161
33,women,1.0096199583841567
34,virginia,0.8468672991299577
35,west,4.3559532589120186e-05
36,rates,3.101875462017266e-05
37,medical,2.7748047732404325e-05
38,shall,2.3903658757589857e-05
39,services,2.375263401493251e-05
40,fewer,2.260583205775749e-05
41,health,2.1832255771094215e-05
42,deaths,2.017895734091899e-05
43,seeking,1.941969719405551e-05
44,lacked,1.6085036332302885e-05
45,medicaid,1.5934047416257315e-05
46,performed,1.5934047416257315e-05
47,link,1.5783030958189687e-05
48,supplies,1.5783030958189687e-05
49,destroy,1.4573947386058627e-05
