,word,relevance_score
0,menstrual,6.223585308881811
1,clinic,6.052896276641244
2,emerg-a-care,5.79958244458622
3,fetal,5.491780678107961
4,stopthebans,5.491780678107961
5,clinics,5.100190749096897
6,"""pro-choice""",5.041440827501765
7,ibis,5.041440827501765
8,tampons,5.041440827501765
9,billing,5.041440827501765
10,pads,5.041440827501765
11,ultrasound,5.041440827501765
12,"child""",5.041440827501765
13,"""unborn",5.041440827501765
14,heartbeat,4.329797101096159
15,incest,4.329797101096159
16,pregnancies,4.329797101096159
17,"abortion""",4.329797101096159
18,abortions,4.2539690593221025
19,"""pro-life""",3.9100202325727245
20,hygiene,3.9100202325727245
21,infant,3.6939054934582622
22,wyoming,3.6410421527080103
23,parenthood,3.6127327885022598
24,pregnancy,3.5736533440452316
25,reproductive,3.4427554205408817
26,pregnant,3.3753364072142724
27,maternal,3.3753364072142724
28,abortion,3.251419179605436
29,viewpoint,2.7461736055436625
30,wade,2.721511275605265
31,mortality,2.7145597499390126
32,bans,2.630806975078804
33,zero,2.630806975078804
34,providers,2.337945583038558
35,implies,2.337945583038558
36,patients,2.1735208692655834
37,rallies,2.167183574225591
38,planned,2.1403977452192513
39,medicaid,2.0826921322032876
40,anti-abortion,1.9564863050744263
41,medical,1.7558143644024486
42,offered,1.5763190573124142
43,fewer,1.3827155187898525
44,women,1.290569543909647
45,woman,1.223816170999449
46,rates,0.9962959060914335
47,health,0.9901555236807124
48,services,3.219880741022624e-05
49,introduced,2.8983851171657655e-05
