,word,relevance_score
0,six-week,5.249189986111551
1,fetal,5.249189986111551
2,out-of-state,5.249189986111551
3,injunction,5.09357166555471
4,"""unborn",4.797417483429505
5,"""pro-choice""",4.797417483429505
6,detected,4.797417483429505
7,"child""",4.797417483429505
8,ultrasound,4.797417483429505
9,pre-viability,4.797417483429505
10,irreparable,4.797417483429505
11,cardiac-cell,4.797417483429505
12,"plaintiffs""",4.797417483429505
13,inflicts,4.797417483429505
14,abortions,4.4920510367661945
15,cardiac,4.0835360459823
16,incest,4.0835360459823
17,"abortion""",4.0835360459823
18,pregnancy,3.929401169137286
19,pain,3.8375136754780854
20,fetus,3.6617051511644623
21,"""pro-life""",3.6617051511644623
22,embryonic,3.584950611950975
23,violates,3.122902047812096
24,kemp,2.9276201167482467
25,abortion,2.745063138113141
26,dobbs,2.6146151288478823
27,viewpoint,2.4841339809973872
28,performed,2.445483814443128
29,parenthood,2.2573555988895495
30,electrical,2.1567009026572026
31,reproductive,2.0624567456408016
32,implies,2.0624567456408016
33,wade,2.0038624409610755
34,neighboring,1.9734454908357975
35,sued,1.8886748459268208
36,georgia,1.8841161159607667
37,informed,1.732642648037453
38,jones,1.6738572339647628
39,banning,1.5797475056942731
40,weeks,1.4639139190533177
41,medical,1.258646014108272
42,women,6.9230262431092e-05
43,woman,3.4369445115912264e-05
44,passed,3.230901109498282e-05
45,illegal,2.9364557037840203e-05
46,activity,2.9230888753569213e-05
47,ruled,2.8040300878936975e-05
48,ruling,2.5695027853659565e-05
49,physical,2.2474077963413268e-05
