,word,relevance_score
0,abortion-rights,6.337139835302578
1,rcrc,6.337139835302578
2,naral,6.011646849667202
3,clinic,5.017507323562749
4,susman,4.980032999247931
5,abortions,4.896384687805652
6,clinics,4.8262344370521415
7,fetus,4.608980992261541
8,hellerstedt,4.524633181455598
9,fetal,4.524633181455598
10,saline,4.524633181455598
11,"choice""",4.524633181455598
12,staggenborg,4.524633181455598
13,suzanne,4.524633181455598
14,trimesters,4.524633181455598
15,freiman,4.524633181455598
16,mccorvey,4.524633181455598
17,danforth,4.524633181455598
18,pro-choice,4.4218509157213015
19,reproductive,4.2083419025247455
20,viability,4.1776033454821055
21,trimester,4.125687690618926
22,abortion,3.853785832204678
23,parenthood,3.8317763236555846
24,bodily,3.80757761810386
25,enters,3.80757761810386
26,pregnancies,3.80757761810386
27,pregnant,3.657637945290772
28,legalizing,3.564647892079718
29,pregnancy,3.4983372878606787
30,abortionthe,3.382733083659426
31,clergy,3.09693385627075
32,highlights,3.077487537951291
33,feminists,2.837588940307643
34,outlawing,2.837588940307643
35,anti-abortion,2.792401878347172
36,choice,2.752453191143362
37,providers,2.6746156714356957
38,unwanted,2.638787159834115
39,wade,2.5158478858178013
40,hyde,2.4680777089150805
41,parent,2.4311029796596255
42,website,2.4145312789887585
43,patient,2.394104668577006
44,planned,2.384567635556352
45,dedicated,2.3827501089983483
46,nonprofit,2.317629600611706
47,stake,2.182315118382181
48,offers,2.103267078263884
49,woman,2.095388353554857
