,word,relevance_score
0,acpeds,6.731819717933117
1,pediatricians,5.36298188232809
2,pediatrics,4.816211593197082
3,superintendents,4.816211593197082
4,mischaracterizing,4.357489523424517
5,"""small",4.357489523424517
6,pediatric,4.357489523424517
7,misused,3.2106822615771047
8,"group""",3.16683686713263
9,gorski,2.902851104471518
10,facts,2.7605416223356833
11,they're,2.6746421994574248
12,accusing,2.2837223189196116
13,academy,1.9605135026440301
14,homosexuality,1.923191261885759
15,orientation,1.723073022315939
16,institutes,1.6159864717337111
17,medical,3.1817823757114364e-05
18,youth,2.5648986189367276e-05
19,letter,2.4972717829769134e-05
20,reportedly,1.57689054016206e-05
21,same-sex,1.4972868856281732e-05
22,publications,1.4201824628920543e-05
23,brief,1.3304554601283565e-05
24,agenda,1.2493966316319641e-05
25,publication,1.2406175491865068e-05
26,professionals,1.195662317355396e-05
27,advocacy,1.0831855821341978e-05
28,advance,1.0606771328549137e-05
29,healthcare,1.0156491639403888e-05
30,misinformed,9.777986571502722e-06
31,"students""surgical",9.777986571502722e-06
32,zanga,9.777986571502722e-06
33,well-adjusted,9.777986571502722e-06
34,acpeds',9.777986571502722e-06
35,quack,9.777986571502722e-06
36,"encouraged""",9.777986571502722e-06
37,mischaracterized,9.777986571502722e-06
38,remafedi,9.777986571502722e-06
39,pediatrician,9.777986571502722e-06
40,"reinforced""",9.777986571502722e-06
41,"professionals""",9.777986571502722e-06
42,"""devalues",9.777986571502722e-06
43,"""gay-affirming",9.777986571502722e-06
44,dysphoria,9.777986571502722e-06
45,"self-restraint""",9.777986571502722e-06
46,"pursue""",9.777986571502722e-06
47,oncologist,9.777986571502722e-06
48,non-traditional,9.777986571502722e-06
49,parenting,9.777986571502722e-06
