,word,relevance_score
0,lion,4.9613755799411585
1,mermaid,4.9613755799411585
2,judie,4.9613755799411585
3,contraceptive,4.9613755799411585
4,navigator,4.9613755799411585
5,pill,4.24911547723562
6,ceos,4.24911547723562
7,aladdin,3.828776602386017
8,disney,3.11469323952438
9,charity,3.0383743764990854
10,co-founder,2.934144862111363
11,priest,2.934144862111363
12,contraception,2.545209823723243
13,euthanasia,2.4390679173102066
14,indicating,2.3410575286346345
15,fish,2.0832121333381854
16,abortion,1.275163429532444
17,league,1.1893516313356618
18,life,4.0873902892024295e-05
19,claims,2.468022274134699e-05
20,catholic,2.4163879071470163e-05
21,magazine,1.5135178761238439e-05
22,projects,1.2857887436778347e-05
23,rosary,9.87320788551879e-06
24,"""legend""",9.87320788551879e-06
25,then-owners,9.87320788551879e-06
26,miramax,9.87320788551879e-06
27,-page,9.87320788551879e-06
28,"unprovable""",9.87320788551879e-06
29,entrances,9.87320788551879e-06
30,"""essentially",9.87320788551879e-06
31,viguerie,9.87320788551879e-06
32,subliminal,9.87320788551879e-06
33,bauer,9.87320788551879e-06
34,bi-monthly,9.87320788551879e-06
35,full-page,9.87320788551879e-06
36,"pro-abortion""",9.87320788551879e-06
37,evaluator,9.87320788551879e-06
38,kills,9.87320788551879e-06
39,"""needs",9.87320788551879e-06
40,infertility,9.747191185125177e-06
41,cloning,9.747191185125177e-06
42,contraceptives,9.747191185125177e-06
43,knowingly,9.747191185125177e-06
44,clinic,9.747191185125177e-06
45,shutting,9.747191185125177e-06
46,defy,9.747191185125177e-06
47,schism,9.747191185125177e-06
48,medication,9.747191185125177e-06
49,marian,9.747191185125177e-06
