,word,relevance_score
0,fetal,5.390778448917027
1,efrat,5.390778448917027
2,clinics,5.234600142672437
3,alois,4.940911267274069
4,anti-abortion,4.591467468299852
5,abortions,4.3383975348745345
6,pregnancies,4.228487425247413
7,medvedev,4.228487425247413
8,veil,4.228487425247413
9,pregnancy,4.070641479203387
10,feminists,3.7519725063460503
11,legalize,3.50716743041413
12,abortion,3.3068224453895683
13,liechtenstein,3.2718995072320802
14,distress,2.768225297129069
15,elective,2.6824369929636487
16,australian,2.3185925701675227
17,australia,2.105346426112974
18,harper,1.7680826702976855
19,doctors,1.7680826702976855
20,situations,1.7680826702976855
21,physicians,1.7006495778901292
22,stages,1.7006495778901292
23,ireland,1.608639035683388
24,protest,1.4250205193349623
25,landmark,1.3588830028265209
26,medical,1.0842155047592967
27,life,0.9882025151975945
28,women,4.755919168632399e-05
29,debate,3.711236682958165e-05
30,russia,2.0536931061958086e-05
31,practice,2.0493358170884985e-05
32,movements,1.9324696778556826e-05
33,restrictions,1.9259178272445406e-05
34,cause,1.8234655296600106e-05
35,entering,1.6745639319056984e-05
36,activists,1.6694204421120608e-05
37,save,1.6494086786683954e-05
38,rape,1.5864470724474698e-05
39,spain,1.510756905988272e-05
40,regard,1.4349215712499127e-05
41,commons,1.4349215712499127e-05
42,punishment,1.3589448729964051e-05
43,weeks,1.3462686189498288e-05
44,banned,1.3082171268179527e-05
45,procedure,1.2701319224431771e-05
46,france,1.2437369125428568e-05
47,organizations,1.0867209801635128e-05
48,geneticist,9.87538860697874e-06
49,jérôme,9.87538860697874e-06
