,word,relevance_score
0,"""pro-woman""",5.406866208212738
1,feminists,5.394368789952214
2,derr,4.64317147465963
3,macnair,4.64317147465963
4,naranjo-huebl,4.64317147465963
5,"""ultimate",4.64317147465963
6,prolife,4.64317147465963
7,woodhull,4.64317147465963
8,"motherhood""",4.64317147465963
9,anti-abortion,4.465298246877482
10,yesterday,3.927506893641251
11,pro-life,3.927506893641251
12,feminist,3.691864739874514
13,feminism,3.4017933980214927
14,abortions,3.3236351154835084
15,stanton,3.1747995123350434
16,edited,3.1266320560983782
17,oaks,2.842966249259077
18,abortion,2.6679756984485294
19,blackwell,2.595675229871687
20,anthony,2.4270030347466824
21,pregnancy,2.3142925390115376
22,alice,2.3142925390115376
23,susan,2.0815222998286713
24,doctor,2.0815222998286713
25,worried,1.9771935765494792
26,arguments,1.8494459952494557
27,elizabeth,1.2348663020979898
28,th-century,1.2348663020979898
29,women,0.8820733416071997
30,organizations,2.8063055147665513e-05
31,mainstream,2.5503243189291438e-05
32,believe,1.8098297708253545e-05
33,distinguish,1.692461087489339e-05
34,seek,1.3629665861635033e-05
35,isbn,1.2780457196003708e-05
36,argument,1.2318694167539447e-05
37,mary,1.214822612854022e-05
38,activists,1.2096462661874648e-05
39,life,1.0371702859296017e-05
40,procedure,1.0103090382730381e-05
41,uncaring,9.829019201024738e-06
42,positing,9.829019201024738e-06
43,third-partiesby,9.829019201024738e-06
44,medically,9.829019201024738e-06
45,male-dominated,9.829019201024738e-06
46,functionsanti-abortion,9.829019201024738e-06
47,"""post-abortion",9.829019201024738e-06
48,beisel,9.829019201024738e-06
49,feminist-inspired,9.829019201024738e-06
