,word,relevance_score
0,rockwall,4.848771544175428
1,exonerated,4.596515145367764
2,ruby,4.2267535435857795
3,injunction,4.1354115819216055
4,wade,3.882404242030875
5,oswald,3.659906220854281
6,dale,3.4123895005745037
7,thin,3.4123895005745037
8,dallas,3.268544318158605
9,randall,2.8152342061150053
10,harvey,2.539901275838527
11,lawyer,2.2046703250271666
12,documentary,2.151418602631047
13,murder,2.0353585735342636
14,scheduled,1.950758903160864
15,defendant,1.950758903160864
16,wood,1.5742565591741404
17,statutes,1.1418982891022
18,attorney,0.8587013540762237
19,abortion,2.3466784039055368e-05
20,county,2.344397051323461e-05
21,trial,2.3325767096470174e-05
22,texas,2.257270524923956e-05
23,named,1.9200746529366854e-05
24,lawyers,1.4861772330953478e-05
25,adams,1.4416290607297628e-05
26,shortly,1.3272292234735742e-05
27,jack,1.3127202918930324e-05
28,career,1.2109939558213476e-05
29,challenge,1.123673672145106e-05
30,criminal,1.0671015913046373e-05
31,"malice""",9.868134119127477e-06
32,belli,9.868134119127477e-06
33,tonahill,9.868134119127477e-06
34,counsellor,9.868134119127477e-06
35,operator,9.868134119127477e-06
36,courthousewade,9.868134119127477e-06
37,"""guilty",9.868134119127477e-06
38,proceedingswade,9.868134119127477e-06
39,"roe""",9.868134119127477e-06
40,menasco,9.868134119127477e-06
41,mccorvey,9.868134119127477e-06
42,"""jane",9.868134119127477e-06
43,declaratory,9.868134119127477e-06
44,cross-appealed,9.868134119127477e-06
45,fixture,9.868134119127477e-06
46,spotlight,9.868134119127477e-06
47,errol,9.868134119127477e-06
48,saxon,9.868134119127477e-06
49,weddington,9.868134119127477e-06
