,word,relevance_score
0,hyde,6.241176465136412
1,stupak,5.670927081303764
2,incest,5.513423292567719
3,mcrae,5.223828169603987
4,premiums,4.513773459927235
5,injunction,4.513773459927235
6,abortions,4.429724311907257
7,medicaid,3.5039576691795897
8,reproductive,3.3779758393450523
9,restricts,3.066362783224027
10,rape,2.8697173415484025
11,endangered,2.8334232645572968
12,parenthood,2.722750724731265
13,pocket,2.722750724731265
14,recipients,2.722750724731265
15,abortion,2.6300892902216817
16,adding,2.4036661949707967
17,funds,2.389937761597049
18,prisons,2.3791605531151743
19,exceptions,2.237572749366988
20,altered,2.10731680682485
21,coverage,2.0851822498428736
22,ryan,1.9314471128456845
23,enact,1.876496153752469
24,mother,1.7591687326029284
25,extend,1.6685653049932438
26,amendment,1.4862684819037881
27,woman,1.4287365689433806
28,health,1.338836775136043
29,care,1.3288494877470425
30,funding,1.3257602341027042
31,women,1.177325579975165
32,services,0.9381257034700478
33,bill,3.021104155323847e-05
34,life,2.7431495084895747e-05
35,passed,2.5071213383403165e-05
36,measures,2.1599960767349916e-05
37,introduced,2.073115468869222e-05
38,expanded,2.073115468869222e-05
39,repeal,1.6990829072323294e-05
40,wade,1.6894390226654925e-05
41,access,1.6752933032132548e-05
42,affordable,1.660521079704304e-05
43,platform,1.6167849738415018e-05
44,upheld,1.564241382719725e-05
45,planned,1.554620249144744e-05
46,estimated,1.519117619848853e-05
47,exception,1.4776739259613381e-05
48,provision,1.4392070366139709e-05
49,version,1.4199729555994707e-05
