,word,relevance_score
0,pain-capable,6.137974597709365
1,weeks',5.5972950799549945
2,re-introduced,5.5972950799549945
3,unborn,5.222645410465833
4,fetuses,5.148533912992862
5,receptors,5.148533912992862
6,post-fertilization,5.148533912992862
7,fetal,5.148533912992862
8,micah,4.8949503249646265
9,gestation,4.8949503249646265
10,fetus,4.795215529134002
11,-week,4.482686779651862
12,incest,4.437800358862473
13,cloture,4.189314507566292
14,pregnancy,4.115078944401944
15,pickering,3.9611339512143524
16,pain,3.719491909854434
17,abortions,3.629386481536849
18,weeks,3.1506691945997285
19,trent,2.9868946773141616
20,threshold,2.6412845495122634
21,graham,2.418437433828326
22,franks,2.3727707052678877
23,abortion,2.33953307797905
24,rape,2.3372227747555216
25,banning,1.9759377336931352
26,restriction,1.8958243133182735
27,child,1.7300438582093396
28,break,1.669565308691174
29,bill,1.5104864021521065
30,introduced,1.4580675511704815
31,passed,4.322769666759544e-05
32,protection,3.164719485862549e-05
33,woman,2.8845997306549755e-05
34,failed,2.7905161880520617e-05
35,october,2.5720514567147478e-05
36,needed,2.1567909771984637e-05
37,asked,1.842788475895842e-05
38,performed,1.7140733439017163e-05
39,voted,1.6136253320423533e-05
40,penalty,1.5875197673875627e-05
41,mother,1.5453931219561544e-05
42,table,1.471733776018452e-05
43,respondents,1.4401881950369948e-05
44,hillary,1.3666308284494208e-05
45,reach,1.356127960868555e-05
46,appeared,1.29313706264232e-05
47,allowing,1.2616578266715009e-05
48,cause,1.0206345814358769e-05
49,polls,9.997000901828308e-06
