,word,relevance_score
0,nrlc,6.666849524787928
1,nlrc,6.549949426429244
2,mchugh,6.133985956177861
3,bopp,5.710503834211732
4,willke,5.402805532544069
5,bcra,5.402805532544069
6,altace,4.952043902927244
7,roussel,4.952043902927244
8,hoechst,4.952043902927244
9,mildred,4.952043902927244
10,scream,4.952043902927244
11,nccb,4.952043902927244
12,pro-life,4.699691112259423
13,abortifacient,4.239615196308047
14,partial-birth,4.239615196308047
15,electioneering,4.239615196308047
16,affiliates,4.174815816137117
17,pharmaceutical,3.819126247683573
18,anti-abortion,3.645679833925472
19,pregnant,3.2830367886804313
20,financing,3.0198237181527965
21,boycott,2.724349914214213
22,newsletter,2.6507035291081835
23,publicity,2.6507035291081835
24,abortion,2.5385784045045976
25,fortune,2.2382759648412187
26,life,2.238219340047526
27,exclusively,2.0710941094647755
28,affiliate,1.848524598603493
29,rape,1.757720667503172
30,hired,1.7120026416984082
31,bishops,1.5913156396173156
32,ryan,1.5767797626451474
33,bishop,1.5767797626451474
34,procedure,1.5124779578629897
35,model,1.360406481019575
36,organization,1.3178348758497764
37,strategy,1.2361356535356822
38,company,0.9871127951186428
39,conference,0.9397610417028706
40,legislation,0.9378813697221531
41,right,8.148517022519254e-05
42,committee,6.779718778323563e-05
43,campaign,4.914958278335196e-05
44,catholic,3.3622119113217e-05
45,media,2.5868688419003952e-05
46,director,2.2874239736868054e-05
47,reason,2.2613875037078202e-05
48,fund,2.1844659248769547e-05
49,meeting,2.145993227638365e-05
