,word,relevance_score
0,ppfa,7.135759549761314
1,parenthood,6.383778454129221
2,sanger,6.165050440325412
3,clinic,5.991153607610458
4,clinics,5.698950653084816
5,feldt,5.257650913208407
6,ppaf,5.257650913208407
7,ippf,5.257650913208407
8,closures,4.948030703201626
9,reimbursements,4.948030703201626
10,contraceptive,4.948030703201626
11,tissue,4.948030703201626
12,daleiden,4.948030703201626
13,merritt,4.948030703201626
14,planned,4.928051206482239
15,contraceptives,4.5567641911802195
16,kline,4.5567641911802195
17,sterilization,4.4922848072513
18,dear,4.4922848072513
19,bccrb,4.4922848072513
20,abcl,4.4922848072513
21,leaflet,4.4922848072513
22,guttmacher,4.4922848072513
23,bcfa,4.4922848072513
24,wattleton,4.4922848072513
25,acla,4.4922848072513
26,hospitalization,4.4922848072513
27,cervical,4.4922848072513
28,prenatal,4.4922848072513
29,burkina,4.4922848072513
30,faso,4.4922848072513
31,"""planned",4.4922848072513
32,family-planning,4.4922848072513
33,fetal,4.4922848072513
34,buffett,4.4922848072513
35,melinda,4.4922848072513
36,cecile,4.4922848072513
37,abortions,4.36974166467324
38,videos,4.352693257725538
39,affiliates,4.352693257725538
40,blackmun,4.242735789863513
41,reproductive,4.17632029384937
42,richards,4.145498932951837
43,clinical,4.145498932951837
44,parental,3.8887192151572
45,non-medical,3.7748188991145732
46,sophia,3.7748188991145732
47,pill,3.7748188991145732
48,undercover,3.7748188991145732
49,gunman,3.7748188991145732
