,word,relevance_score
0,fetal,7.164670325033803
1,anesthesia,6.238438162802115
2,pain,5.926869013430468
3,fetuses,5.713200080931952
4,cortex,5.713200080931952
5,fetus,5.614266983701147
6,prenatal,5.5230358180309205
7,weeks',5.287518131402563
8,sensory,4.977585120318967
9,cerebral,4.977585120318967
10,anterior,4.977585120318967
11,womb,4.977585120318967
12,analgesia,4.977585120318967
13,html,4.977585120318967
14,auditory,4.521103906967056
15,gestational,4.521103906967056
16,thalamocortical,4.521103906967056
17,neural,4.521103906967056
18,"""unborn",4.521103906967056
19,anesthetise,4.521103906967056
20,anesthetic,4.521103906967056
21,cingulate,4.521103906967056
22,gestation,4.27240246389537
23,"act""",4.27240246389537
24,reflexes,3.803823650849636
25,premature,3.378761663293893
26,chemicals,3.378761663293893
27,unborn,3.378761663293893
28,pathways,3.3316468552872522
29,maternal,3.3316468552872522
30,babies,3.0732874739084255
31,perception,2.5328350020957764
32,abortions,2.412214863382881
33,pregnancy,2.1764387950513107
34,feel,1.6886879142230466
35,respond,1.6886879142230466
36,abortion,1.5345655735817758
37,informed,1.4034768131740807
38,weeks,3.0058266475572808e-05
39,version,2.852834253285324e-05
40,evidence,2.4695913484146435e-05
41,fully,1.929304286305922e-05
42,capable,1.714912640267225e-05
43,functional,1.714912640267225e-05
44,legislation,1.6307825528309426e-05
45,hearing,1.6001437953211024e-05
46,awareness,1.5809914907408342e-05
47,structures,1.5235047135183601e-05
48,possibility,1.5235047135183601e-05
49,performed,1.4851605391222166e-05
