,word,relevance_score
0,pro-life,6.340216022447267
1,"""anti-abortion""",4.918601048402056
2,"""anti-life""",4.918601048402056
3,"""anti-choice""",4.918601048402056
4,neill,4.918601048402056
5,"""abortion",4.918601048402056
6,kimmey,4.918601048402056
7,"""pro-abortion""",4.918601048402056
8,pro-choice,4.5374614720149395
9,constructions,4.205916701719325
10,safire,4.205916701719325
11,qualifier,4.205916701719325
12,"""freedom",3.785190263255918
13,"""pro-life""",3.785190263255918
14,"""right",3.5849676590522708
15,memo,3.4841262626227882
16,recommends,3.2486200728980026
17,parenthood,2.9133542800813905
18,"life""",2.7379220985531383
19,dictionary,2.498525564187086
20,anti-abortion,2.3920761354016133
21,gray,2.2931468062285827
22,labels,2.032895671781845
23,abortion,1.8292057802298347
24,slogan,1.7920676838253973
25,life,3.9631755555318005e-05
26,phrase,2.045435574590446e-05
27,opponents,2.0061162326956933e-05
28,terms,1.9445764280961893e-05
29,commonly,1.8882001780964536e-05
30,wade,1.5800262603371185e-05
31,usage,1.5542361718039647e-05
32,label,1.4636632145729282e-05
33,planned,1.3986795167252838e-05
34,earliest,1.3986795167252838e-05
35,suggests,1.3465437786650999e-05
36,style,1.3465437786650999e-05
37,positive,1.2812282895237926e-05
38,rather,1.2647014774439026e-05
39,sense,1.1502981165451416e-05
40,oxford,1.1240876895867917e-05
41,cited,1.1240876895867917e-05
42,word,1.058552293675743e-05
43,"programs""the",9.858899903327879e-06
44,warnock,9.858899903327879e-06
45,gamaliel,9.858899903327879e-06
46,abortion-specific,9.858899903327879e-06
47,"slogan""",9.858899903327879e-06
48,"""pro-choice""",9.858899903327879e-06
49,pastor-turned-senator,9.858899903327879e-06
