,word,relevance_score
0,plagal,7.272127428470337
1,abort,4.526171619354653
2,fetus,4.107873517407544
3,anti-abortion,3.3024593727051705
4,parade,2.802796530721914
5,lesbian,2.640564110769263
6,gays,2.5522964803377737
7,abortion,2.342646884139302
8,legalized,2.3195182664310163
9,lgbt,2.1218894355389435
10,opponents,2.2685334066772553e-05
11,alliance,2.1629684920659325e-05
12,human,2.1281259562622188e-05
13,reaction,1.7010947580583723e-05
14,position,1.6970921901478797e-05
15,table,1.5183021501416728e-05
16,community,1.4985176267705332e-05
17,denied,1.2781401781773945e-05
18,beliefs,1.0862350918767908e-05
19,antiretroviral,9.903425665759234e-06
20,interconnectedness,9.903425665759234e-06
21,orderat,9.903425665759234e-06
22,malone,9.903425665759234e-06
23,"""gays",9.903425665759234e-06
24,"lesbians""",9.903425665759234e-06
25,fetuses,9.903425665759234e-06
26,now-defunct,9.903425665759234e-06
27,arcidi,9.903425665759234e-06
28,duprey,9.903425665759234e-06
29,childrenmost,9.903425665759234e-06
30,"""crucial",9.903425665759234e-06
31,walk,9.903425665759234e-06
32,"""pro-life",9.903425665759234e-06
33,tore,9.903425665759234e-06
34,hecklers,9.903425665759234e-06
35,condoning,9.903425665759234e-06
36,cosponsor,9.903425665759234e-06
37,woman,9.807532202809228e-06
38,infected,9.806862783781921e-06
39,cecilia,9.806862783781921e-06
40,jackie,9.806862783781921e-06
41,volz,9.806862783781921e-06
42,diverting,9.806862783781921e-06
43,pro-life,9.806862783781921e-06
44,"funds""",9.806862783781921e-06
45,leaflets,9.806862783781921e-06
46,"abortion""",9.806862783781921e-06
47,sena,9.806862783781921e-06
48,states-based,9.71031122222944e-06
49,breast,9.61377085050924e-06
