,word,relevance_score
0,pregnancies,5.446755657663268
1,pregnancy,5.269058919872977
2,rape-related,5.011535733432923
3,"rape""",5.011535733432923
4,rapist,5.011535733432923
5,incest,4.803667097445096
6,rapes,4.7747029730423245
7,pregnant,4.655196881313338
8,rape,4.508248155497389
9,"""pregnancy",4.462131036877878
10,infanticide,4.462131036877878
11,rape-pregnancy,4.462131036877878
12,raped,4.395708834583086
13,nanking,4.311583409322836
14,medieval,4.256675514283904
15,intercourse,4.256675514283904
16,yuzpe,3.9985344396855447
17,galen,3.9985344396855447
18,darfur,3.9985344396855447
19,impregnated,3.9985344396855447
20,sociobiological,3.9985344396855447
21,"intercourse""",3.9985344396855447
22,self-confession,3.9985344396855447
23,"""emergency",3.9985344396855447
24,gottschall,3.9985344396855447
25,clinicians,3.9985344396855447
26,insemination,3.9985344396855447
27,pmid,3.9009569291990984
28,organs,3.753518250956263
29,consented,3.753518250956263
30,contraceptives,3.753518250956263
31,conceive,3.753518250956263
32,underage,3.65899970625196
33,consensual,3.608866250897171
34,babies,3.608866250897171
35,adolescents,3.272803110907108
36,impregnation,3.272803110907108
37,rapists,3.272803110907108
38,doij-tbx,3.272803110907108
39,conceived,3.1001889696254388
40,conception,3.074392179343996
41,physician,2.9800994752648196
42,girls,2.8530542996076727
43,childbearing,2.839004179262159
44,psychologists,2.839004179262159
45,pills,2.839004179262159
46,adolescent,2.803358457143149
47,mothers,2.7714483808873083
48,bosnian,2.610945681178872
49,contraception,2.4162935422880145
