,word,relevance_score
0,stenberg,5.463242658753715
1,carhart,5.35044905057929
2,partial-birth,5.34225230544245
3,uterus,5.316816136381015
4,fetal,5.316816136381015
5,fetus,4.796586488244445
6,"""partial",4.552067383598035
7,curettage,4.552067383598035
8,"carhart""",4.552067383598035
9,undue,4.506926364383459
10,pain,3.9125743848798544
11,dilation,3.83531258660722
12,safest,3.83531258660722
13,"abortion""",3.83531258660722
14,unborn,3.4107603485918445
15,casey,3.361777976585545
16,akron,3.105819336297369
17,innocent,3.105819336297369
18,abortions,3.035406537771341
19,gonzales,2.9743988557287193
20,o'connor,2.940127003129519
21,parenthood,2.875921997934114
22,akin,2.8662483880101535
23,burden,2.8290532931283163
24,concurring,2.6678064142146405
25,scalia,2.56845869031741
26,abortion,2.2558483751573046
27,instruments,2.212712824593883
28,physician,2.212712824593883
29,"""right",2.089548343131052
30,physicians,1.8846253397339123
31,inserted,1.8680377951995395
32,sandra,1.8680377951995395
33,nebraska,1.831724608407236
34,constitutes,1.666809053733428
35,procedure,1.600415516453204
36,judgment,1.578953033579318
37,ginsburg,1.578953033579318
38,dissent,1.5329604294550885
39,planned,1.3257860853508903
40,struck,1.2713596600477661
41,statute,1.1826315494121542
42,exception,1.1209248543422488
43,opinion,0.824638586538607
44,woman,3.0209875152713158e-05
45,kennedy,2.5621102835976446e-05
46,felt,2.0860126432278238e-05
47,decision,2.0382581132160794e-05
48,protected,1.8432630124669015e-05
49,unconstitutional,1.7872296294284366e-05
