,word,relevance_score
0,unborn,5.766558646071328
1,utero,5.741507255375924
2,laci,5.506861280839702
3,"child""",5.506861280839702
4,fetus,5.245664080325194
5,fetal,5.198380222302104
6,homo,5.198380222302104
7,"utero""",5.198380222302104
8,rocha,4.7452177501182975
9,conner,4.7452177501182975
10,"""unborn",4.7452177501182975
11,sapiens,4.7452177501182975
12,prenatal,4.7452177501182975
13,"""child",4.494359590694929
14,pregnant,4.472084759509966
15,peterson,4.117683092620855
16,sharon,4.030679840784644
17,deserving,4.030679840784644
18,subsection,4.030679840784644
19,"""person""",4.030679840784644
20,bodily,4.030679840784644
21,offense,3.5211733395587403
22,intentionally,3.068197724941979
23,victim,2.986038439838365
24,punished,2.872247811285608
25,construed,2.704681845679929
26,trigger,2.704681845679929
27,alive,2.4264102314658214
28,injury,2.209642371891407
29,homicide,2.1914133333724215
30,sections,2.1723998193971195
31,conduct,2.1119641451074425
32,injured,2.0957663481366104
33,remarks,2.0001450522729423
34,wade,1.9496040091681233
35,kill,1.8228662516481986
36,crimes,1.7686704905011683
37,signing,1.7562979160638352
38,testimony,1.7391565851639552
39,species,1.6727813789826704
40,child,1.6467244909730951
41,foster,1.6325666867004607
42,mother,1.6237018553831155
43,victims,1.5470260767881205
44,woman,1.3369743575734028
45,stage,1.2939675469025687
46,title,1.070266557051737
47,section,0.9622451253355326
48,person,6.200974502116252e-05
49,violence,3.744015215026553e-05
