,word,relevance_score
0,leak,4.408715501503525
1,gathered,3.1181157915901525
2,marched,3.027500016042929
3,erupted,2.7152909429548058
4,streets,2.683986302658124
5,protesters,2.6014679072001603
6,protests,2.5611434928253254
7,wade,1.9784089656148591
8,counter,1.745595076391978
9,hall,1.5588344215196537
10,abortion,1.2053449992672733
11,across,3.052014186123801e-05
12,angeles,2.7730957241095167e-05
13,outside,2.2565129447734455e-05
14,notably,2.192831019440951e-05
15,took,1.889714692809611e-05
16,scale,1.6125612365486094e-05
17,overturn,1.5695126588605973e-05
18,broke,1.4834156080397996e-05
19,hundreds,1.3973186966555155e-05
20,march,1.1372678419682474e-05
21,thousands,1.0314083792316416e-05
22,"""summer",9.892378819063145e-06
23,iater,9.892378819063145e-06
24,hyannisin,9.892378819063145e-06
25,"rage""",9.892378819063145e-06
26,citiesin,9.892378819063145e-06
27,ayer,9.784757659604267e-06
28,bangor,9.784757659604267e-06
29,northampton,9.67713652164161e-06
30,amherst,9.67713652164161e-06
31,intersection,9.67713652164161e-06
32,springfield,9.461894310274064e-06
33,worcester,9.461894310274064e-06
34,clashes,9.461894310274064e-06
35,revealing,9.2466521850915e-06
36,foley,9.139031154857377e-06
37,arrests,9.139031154857377e-06
38,clash,9.139031154857377e-06
39,protesting,9.139031154857377e-06
40,rallied,9.031410146213476e-06
41,sexism,8.923789159173011e-06
42,dozen,8.493305427288053e-06
43,possible,8.484541659655543e-06
44,gather,8.385684548441292e-06
45,downtown,8.170442855766405e-06
46,topic,7.955201249840878e-06
47,internationally,7.847580479428957e-06
48,boston,7.5159630869527425e-06
49,manhattan,7.2018563130887875e-06
